championName,summoner1Id,summoner2Id,kills,deaths,assists,totalMinionsKilled,item0,item1,item2,item3,item4,item5,item6,goldEarned,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,physicalDamageTaken,magicDamageTaken,trueDamageTaken,damageDealtToObjectives,damageSelfMitigated,totalHeal,totalHealsOnTeammates,firstBloodKill,doubleKills,tripleKills,quadrakills,pentakills,largestKillingSpree,turretsLost,turretTakedowns,teamId,win,gameEndedInEarlySurrender,gameEndedInSurrender,kda,killParticipation,goldPerMinute,damagePerMinute,teamDamagePercentage,damageTakenOnTeamPercentage,killsNearEnemyTurret,killsUnderOwnTurret,takedownsInEnemyFountain,killsOnRecentlyHealedByAramPack,firstTurretKilledTime
Shyvana,4,6,11,9,31,91,3111,8020,4401,3068,3748,0,0,15043,44322,11259,33062,0,38382,13471,23554,1356,2016,69557,5345,0,False,1,0,,,3,1,4,200,True,False,True,4.666666666666667,0.8936170212765957,798.1471567995751,2351.6518453207236,0.3182275266378912,0.25595870352776845,1.0,1.0,0.0,0.0,523.5538177595051
Gnar,4,32,5,9,22,48,3047,6631,4401,6333,1029,0,0,11856,24337,22205,1336,795,26100,12798,11349,1951,1015,31319,4279,0,False,0,0,,,3,4,1,200,False,False,False,3.0,0.6428571428571429,698.4773489880534,1433.7547405005923,0.23428232818002523,0.21331243508972195,0.0,1.0,0.0,0.0,
Rell,4,32,5,8,20,3,3111,6664,4401,3211,1028,0,0,9054,10649,1133,8683,832,19120,7352,9431,2336,398,31796,1750,617,True,0,0,,,2,0,3,100,True,False,False,3.125,0.8928571428571429,683.4415142092523,803.8720607350918,0.15545903879991538,0.27020533569402844,3.0,0.0,0.0,0.0,444.81789680886334
Renekton,4,32,13,8,31,85,3047,3748,4401,3068,3083,3133,0,16933,40890,25463,12431,2995,52616,29188,20561,2867,2719,62028,11569,307,False,2,0,,,3,1,4,200,True,False,True,5.5,0.8,780.8653864883735,1885.6341767629972,0.3378624815387093,0.3174217075868457,6.0,1.0,0.0,0.0,355.10180658930096
Orianna,4,3,5,7,40,29,3158,6656,3157,3040,3112,0,0,10585,9232,607,8303,321,14203,4382,9321,499,2087,3742,474,0,False,1,0,,,2,2,2,100,True,False,True,6.428571428571429,1.25,699.3816538624769,610.0183287558166,0.09777320846122552,0.1426582900263143,1.0,0.0,0.0,0.0,
Kindred,4,3,9,13,23,124,3006,6671,3085,3072,1038,1037,0,16021,36391,26274,10116,0,37522,20434,15668,1419,3269,30040,10673,5393,False,0,0,,,2,2,3,100,True,False,False,2.4615384615384617,0.64,686.5117434235008,1559.3669426665158,0.21783746697946532,0.23034310473984007,3.0,1.0,0.0,0.0,307.8626975642987
Renekton,4,32,8,13,19,71,3111,3143,3068,4401,3077,3083,0,15821,22515,13589,7641,1285,58482,26487,28715,3280,1437,103106,6044,0,False,0,0,,,2,4,2,200,False,False,False,2.076923076923077,0.46551724137931033,645.5674961837163,918.6786800254691,0.17135362917927566,0.30991050770947814,4.0,0.0,0.0,1.0,
MissFortune,4,3,9,11,21,84,3158,3042,6692,6696,3035,1036,0,12901,23877,20031,2965,880,20590,9728,10303,557,6047,8621,908,0,False,1,1,,,3,2,3,200,True,False,False,2.727272727272727,0.7894736842105263,749.9244933478715,1387.943480744524,0.2252319245706926,0.164368014407994,1.0,2.0,0.0,0.0,
Orianna,4,3,6,8,35,30,3111,3040,6655,3089,0,0,0,11573,16255,795,15460,0,19396,5144,13920,331,4099,11055,3341,0,False,0,0,,,2,2,4,100,True,False,False,5.125,1.1081081081081081,716.7057575958848,1006.6659700156688,0.15204626570835003,0.1633308920890965,1.0,1.0,0.0,0.0,297.61580672850954
Zeri,4,3,6,11,26,85,3006,3748,3078,3085,3133,3067,0,13840,24666,15101,9564,0,30292,10829,16522,2941,1845,9646,1661,0,False,1,0,,,2,4,1,200,False,False,False,2.909090909090909,0.5333333333333333,665.5826610413853,1186.222035737684,0.19755320258126033,0.17742729927015483,1.0,1.0,0.0,0.0,300.14002921068794
LeeSin,4,32,6,13,25,17,3047,6630,6333,3082,4401,0,0,12595,23479,16207,5308,1964,35581,20114,10260,5206,667,60450,4748,0,False,1,0,,,2,4,2,100,False,False,False,2.3846153846153846,0.5166666666666667,597.2383159841754,1113.355604671824,0.17493549161716254,0.25179821879218406,3.0,0.0,0.0,0.0,254.79748089999998
Qiyana,4,32,7,13,21,22,3111,6693,3042,3814,1036,1036,0,10935,19851,17609,779,1461,20082,9038,10699,344,505,15802,0,0,False,1,0,,,3,1,0,100,True,False,False,2.1538461538461537,0.509090909090909,649.320916089604,1178.6651349739225,0.16759644344172328,0.16767607939058088,2.0,2.0,0.0,0.0,349.7870428272794
Camille,4,32,0,2,0,3,1001,2051,2031,3057,0,0,0,3216,1616,1234,62,319,4361,2255,1988,117,0,3049,280,0,False,0,0,,,0,4,0,200,False,False,False,0.0,0.0,600.5323366056056,301.8691778395761,0.3575633586797671,0.3449912288367427,0.0,0.0,0.0,0.0,
Gnar,4,32,6,11,20,43,3047,3067,6333,3078,3051,1033,0,11582,20600,17857,1417,1325,26108,13010,10868,2230,1731,28668,1759,0,False,1,1,,,3,4,2,100,False,False,False,2.3636363636363638,0.5777777777777777,654.6026134035409,1164.2691781221413,0.1864285849629155,0.21512374687636895,1.0,1.0,0.0,0.0,678.5752743927474
Ashe,4,3,8,11,40,77,3158,6696,4005,3042,3814,3035,0,16179,37224,28908,8316,0,27767,11395,15701,670,3055,10598,2933,0,True,0,0,,,2,2,4,100,True,False,False,4.363636363636363,0.9411764705882353,727.8914976457706,1674.6600670047794,0.22843170162572846,0.21233200470503397,2.0,1.0,0.0,0.0,
Shyvana,4,6,6,11,20,41,3111,3748,3068,1011,8001,1006,0,12152,16876,4159,12005,711,38236,18449,10803,8983,1560,44322,1674,0,False,1,0,,,2,4,2,100,False,False,False,2.3636363636363638,0.4727272727272727,647.4831329484352,899.2226409093105,0.1708960824191594,0.26495052622787757,3.0,1.0,0.0,0.0,340.42333877327894
Leblanc,4,14,19,14,33,51,3020,3089,6655,3102,3135,3083,0,19778,47317,1546,42269,3501,33793,16457,16264,1071,985,22392,1602,0,False,2,0,,,3,3,1,100,True,False,False,3.7142857142857144,1.0,704.5919173969893,1685.631636204931,0.18220503224882403,0.2054845068877971,8.0,3.0,0.0,0.0,676.60529975237
Trundle,4,32,3,14,29,27,3111,6632,3143,3065,6333,1037,0,15513,14663,9118,3258,2285,59466,32376,21186,5903,1555,82252,18449,0,False,0,0,,,0,4,2,200,False,False,False,2.2857142857142856,0.5423728813559322,559.9053977322628,529.2435154798912,0.09980257882797593,0.30211328183868985,0.0,1.0,0.0,0.0,780.8038733491983
Rell,4,32,2,8,28,16,3111,2031,3083,6662,1028,0,0,8684,12894,1445,9764,1684,21493,10242,7961,3289,1197,27449,1381,343,False,0,0,,,0,0,3,100,True,False,False,3.75,1.0,673.0140278872702,999.274781312935,0.15076208645246167,0.28785998585545813,2.0,0.0,0.0,0.0,332.49118794104487
Gangplank,4,32,5,11,14,63,3158,6691,6676,1038,3508,1018,0,13560,27549,14519,6899,6130,25532,17554,7473,503,1098,19465,4430,0,False,0,0,,,0,4,1,100,False,False,False,1.7272727272727273,0.34545454545454546,595.5262661479434,1209.8888127135567,0.19715122738089252,0.1296148999123727,1.0,0.0,0.0,0.0,
Lissandra,4,32,6,12,18,59,3111,6656,3157,3102,1058,1058,0,12579,20897,1196,18045,1655,22761,5615,15569,1577,308,21481,752,183,False,0,0,,,2,4,0,200,False,False,False,2.0,0.4528301886792453,656.1917318067713,1090.1082181352217,0.2686255102259599,0.2092061596683635,0.0,2.0,0.0,0.0,
Annie,4,14,12,9,21,26,3020,6653,3116,3165,1052,0,0,11598,19861,286,18042,1531,16754,10337,4773,1643,1333,7842,505,0,False,3,1,,,4,1,3,100,True,False,False,3.6666666666666665,0.8918918918918919,818.4324620101208,1401.4729088690087,0.2690680395949317,0.20634757468849724,2.0,4.0,0.0,0.0,357.32292140666124
Yorick,4,32,3,12,10,12,3111,6632,2051,3110,3066,1057,0,9814,11534,6928,3618,988,31332,12271,12209,6851,570,23155,5170,0,False,0,0,,,0,4,1,100,False,False,False,1.0833333333333333,0.2708333333333333,560.7108989582806,658.9664821684235,0.12154333878393983,0.2901811112894538,0.0,3.0,0.0,0.0,
Lux,4,3,17,8,33,81,3020,6656,3040,3135,3089,3145,0,16382,30893,1658,27241,1993,20575,9154,10843,577,3939,18303,2370,0,False,3,1,,,4,2,4,100,True,False,False,6.25,1.3157894736842106,769.0444972741481,1450.227701686904,0.2174153528182331,0.16088851552017594,1.0,6.0,0.0,2.0,
Teemo,4,3,6,10,28,35,3020,6653,3115,3116,1052,0,0,10946,22517,1917,19070,1528,17739,11080,5835,823,1917,6604,36,0,False,1,1,,,3,1,0,100,True,False,False,3.4,1.096774193548387,676.1658461991196,1390.9437048683264,0.1938519538330901,0.22195357437194815,0.0,0.0,0.0,1.0,411.97536243564053
